RUT;DV;NOMBRES;PATERNO;MATERNO;NAC_DIA;NAC_MES;NAC_ANHO;DIRECCION;NRO;COMUNA;HABILITADO_SUFRAGAR;ES_VOCAL_MESA;NRO_MESA
20675862;7;Andrés Patricio;Rodríguez;Valenzuela;27;2;1985;PAN;725;RENCA;1;0;14
19685718;4;María Gracia;Camus;Raverts;3;8;2006;CHORRILLOS;4986;RENCA;1;0;10
17612247;1;Sandy Ester;Reyes;Meneses;9;9;2003;AV. EL GUANACO;3253;RECOLETA;1;1;7
17929058;8;Claudia Pamela;Leiva;Coronel;20;8;2004;PJE. HERCULES;8050;RENCA;1;0;9
22593307;3;Massiel del Carmen;Barra;Escalante;23;7;1990;PJE. JOSE READY;9815;SAN MIGUEL;1;1;3
20815269;6;Orlette Beatriz;Barrera;Zamudio;11;8;1992;PEDRO FONTOVA;4431;CONCHALI;1;0;13
22766835;0;Julio Alejandro;Bravo;Molina;10;4;1992;ROMA;2389;CONCHALI;1;0;1
19703231;6;Juan Marcelo;Calderon;Salazar;4;6;1991;EDUARDO ANGUITA;6800;SAN BERNARDO;1;1;10
17835769;7;Manuel Alejandro;Nilo;Perea;25;7;2001;AV. PROVIDENCIA;4135;PROVIDENCIA;1;0;13
17084251;0;Nicole Pamela;Muñoz;Beltran;7;11;1972;AV. OBSERVATORIO;8645;EL BOSQUE;1;0;10
21153455;9;Amara Pollette;Inostroza;Bugueño;30;12;1992;CLAUDIO ARRAU;5640;EL BOSQUE;1;0;6
17927384;5;Joaquin Cristobal;Paredes;Ibaceta;9;2;1999;AV. OBSERVATORIO;1752;EL BOSQUE;1;1;5
17517333;1;Romina Andrea;Reinoso;Sabarzo;24;6;1986;INDIO GERONIMO;8036;EL BOSQUE;1;0;9
18461149;k;Jeanette Alejandra;Orellana;Tillería;31;3;1986;BELLAVISTA;3756;RECOLETA;1;0;3
17704949;2;Carolina Andrea;Droguett;Rojas;14;7;1996;EYZAGUIRRE;9601;SAN BERNARDO;1;0;5
21973428;k;Vania Alicia;Paillalef;De Torres;11;11;1982;PTO. GROSSE;2986;SAN BERNARDO;1;0;9
18462886;9;Elizabeth Alicia;Sepúlveda;Soto;10;7;2003;MAR DE DRAKE;3093;PUDAHUEL;1;0;3
21090004;7;Angel Abel;Lezana;Camus;30;7;1991;LA TRAVESIA;2775;PUDAHUEL;1;0;14
19220436;4;Catalina Dominique;Riddke;Muñoz;20;6;1978;PJE. LOS ONAS;7286;PUDAHUEL;1;0;8
16937370;1;Zarko Werwer;Ortiz;Osorio;27;12;1995;GUAFO;7411;SAN BERNARDO;1;0;9
18978260;8;Pedro Andrés;Galdamez;Venegas;20;8;1994;STA. VICTORIA;9140;PUDAHUEL;1;0;14
20122458;6;Rodrigo Patricio;Sanchez;Valenzuela;10;8;1997;DUCAUD;9633;SAN BERNARDO;1;0;10
21674556;6;Renata Makarena;Anguita;Shinya;23;3;1991;PABLO NERUDA;4609;PUDAHUEL;1;0;10
21500529;1;Bastian Andrés;Leyton;Godoy;6;7;1987;COLBUN;5957;SAN BERNARDO;1;0;13
17664540;7;Sofía Josefina;Herrera;Cruz;10;1;1990;FREIRE;5441;SAN BERNARDO;1;0;2
16938339;1;Daniela Alejandra;Sepúlveda;San Martin;5;10;1989;AV. CALDERON DE LA BARCA;8702;SAN BERNARDO;1;0;11
16471988;k;Oscar Osvaldo;Arias;Durán;25;5;1979;SANTA MARTA;8516;SAN BERNARDO;1;1;1
21851544;4;Ignacia Francisca;Rodriguez;Didier;3;1;1985;AV. EYZAGUIRRE;7327;SAN BERNARDO;1;1;13
20636172;7;Paulina Elizabeth;Lonconao;Castillo;2;9;2000;PJE. HAITI;9252;SAN BERNARDO;1;0;8
21206152;2;Catalina Andrea;Saavedra;Codoceo;18;3;2006;AMERICA;4012;SAN BERNARDO;1;0;9
16524078;2;Carla Andrea;Figueroa;Guzman;30;1;2004;SERRANO;912;PUDAHUEL;1;0;12
21633095;1;Natalia Andrea;Andrés;Villanueva;11;8;1990;PJE. SAMOS;3304;PUDAHUEL;1;0;1
21495935;6;Rafael Alejandro;Ramirez;Carrasco;23;5;2006;SERRANO;7214;PUDAHUEL;1;0;9
18088789;k;Sebastián Ignacio;Astorga;Ugarte;9;7;2000;PJE. LOS PAPAGAYOS;3723;PUDAHUEL;1;0;12
21908940;6;Ihan Edgard;Salinas;Campos;8;1;1991;ALFA CENTAURO;8601;PUDAHUEL;1;0;13
34191126;5;Erika Natalia;Roa;Véliz;29;1;2004;ARBIZU CAMPOS;594;PUDAHUEL;1;0;1
12403400;0;Monserrat Isidora;Perez;Porras;13;12;1990;AV. LAS TORRES;1844;PUDAHUEL;0;0;7
17315978;1;Adolfo Anibal;Monetta;Rojas;14;10;1996;PJE. SENADO;2970;PUDAHUEL;1;1;3
21008923;3;Constanza Edith;Uribe;López;11;5;1989;LA TRAVESIA;6781;PUDAHUEL;1;0;12
19966489;1;Francisco Franco;Miranda;Mora;7;8;2002;LAGUNA SAN RAFAEL;1173;PUDAHUEL;1;0;2
21495935;6;Victor Eduardo;Hodges;Nuñez;16;5;1988;SAN DANIEL;6352;PUDAHUEL;1;0;7
21077751;2;Matías Sebastián;Ilic;Mansilla;16;12;1988;NICANOR MOLINARE;5613;PUDAHUEL;1;0;13
21242100;9;Constanza Romina;Sepúlveda;Vargas;27;6;1994;SAN FRANCISCO;1392;PUDAHUEL;1;0;14
19955174;4;Lukan René;Miranda;Rojas;7;6;1996;PJE. PTO. PIEDRAS;9231;PUDAHUEL;1;0;3
16168141;5;Roberts Matias;Opazo;Nessiego;22;9;1998;LAS MISIONERAS;2612;PUDAHUEL;1;0;3
18349049;4;Fernando Sebastián;Campos;Catrileo;12;6;1995;RUFINA CASTILLO;8804;PUDAHUEL;1;0;4
19208390;7;Stefhany Macarena;Rueda;Zenteno;27;5;2004;EL ABETO;5767;PUDAHUEL;1;0;10
20119275;7;Ivannia Andrea;Tello;Dunean;16;3;1986;SAN DANIEL;2273;PUDAHUEL;1;0;6
17666308;1;Jenifer Lorena;Villanueva;Valdes;19;5;1991;AV. LAGUNA SUR;9681;PUDAHUEL;1;0;12
16322950;1;Rocio Valentina;Arancilia;Valdivia;4;5;1998;LOS PAJARITOS;7502;PUDAHUEL;1;0;2
20941261;6;Francisco Santiago;Retamales;Oporto;3;12;2005;JOSE MANUEL INFANTE;5991;PROVIDENCIA;1;0;15
22445961;0;Consuelo de los Angeles;Garrido;Barrias;16;10;1989;EL AGUILUCHO;4131;PROVIDENCIA;1;0;12
15341920;5;Paulina Elizabeth;Prado;Pinto;4;1;1993;AV. PEDRO DE VALDIVIA;5387;PROVIDENCIA;1;0;7
20453910;3;Francy Karen;Fonseca;Valdivia;26;3;2007;ELIODORO YANEZ;8689;PROVIDENCIA;1;0;2
19730411;1;Barbara Joaquina;Zamarano;Sotelo;4;11;1986;PUYEHUE;4077;PROVIDENCIA;1;0;4
17810153;1;Sebastian Eduardo;Alvial;Caceres;31;10;1994;SAN ANDRES;6133;QUILICURA;1;0;13
17698478;3;Felipe Eduardo;Yañez;Elgueta;30;4;1991;PJE. ESTERO MAIQUEN;2517;QUILICURA;1;0;2
18687332;7;Lucas Pablo;Morales;Poblete;30;5;2007;RAMON ROSALES;5807;QUILICURA;1;0;8
21547780;0;Nicolás Antonio;Jiménez;Escobar;10;4;1995;PJE. GALVARINO;6662;QUILICURA;1;0;9
18415647;4;Damian Vicente;Ramos;Levio;29;7;1991;PTO. DE VALPARAISO;5861;QUILICURA;1;0;9
17600447;9;Francísca Ignacia;Varela;Carrasco;2;6;1986;MONTE EREBUS;9039;QUILICURA;1;0;1
16441023;4;Samanta Agustina;Garrido;Gallardo;21;12;1991;LOS AMERINDIOS;1639;QUILICURA;1;0;3
20942454;1;Alejandro Ivo;Garcia;Espinoza;3;9;2007;ESTACION RUNGUE;7740;QUILICURA;1;0;4
21211675;0;Valentina Monserrat;Ballester;Montenegro;15;7;1987;VOLCAN VILLARRICA;8399;QUILICURA;1;0;5
16605344;3;Diego Alberto;Rojas;Galindo;7;6;1984;LO OVALLE;3644;QUILICURA;1;0;13
16478769;9;Manurenn Rosa;Hernández;Gac;4;3;1987;AV. LO MARCOLETA;3319;QUILICURA;1;0;4
17408859;4;Felipe Estéban;Salas;Brandon;22;1;1986;LOS TRES ANTONIOS;6891;ÑUÑOA;1;0;5
16475223;2;Diego Ignacio;Encina;Silva;20;8;1986;PASEO EL PRADO;907;QUILICURA;1;0;13
18956937;8;Agustin Hernán;Labarca;Bustos;14;3;1989;PJE. PTO. FONCK;6987;QUILICURA;1;0;11
20579824;2;Rodrigo Alejandro;Serani;Díaz;31;3;1998;SALAR DEL CARMEN;3152;QUILICURA;1;0;5
19053363;8;Claudia Francisca;Mellado;Guajardo;16;1;1975;AV. PEDRO DE VALDIVIA;3493;ÑUÑOA;1;0;11
19430693;8;Trinidad Susana;Cisternas;Rojas;19;2;2001;AV. SEMINARIO;7205;ÑUÑOA;1;0;5
21;613;Gloria Margarita;Arias;Ringele;4;8;1972;JULIO PRADO;6796;ÑUÑOA;1;0;7
22063769;7;Joaquin Ignacio;Oyarce;Montero;24;3;1996;VOLCAN VILLARRICA;9934;QUILICURA;0;0;1
17310338;5;Simón Eduardo de Marta;Muñoz;Avila;11;6;1988;AV. GRECIA;4488;ÑUÑOA;1;0;14
16841286;9;Ricardo Ignacio;Paredes;Jeraldo;2;10;2007;NUEVA UNO;5096;ÑUÑOA;0;0;5
16720007;9;María Rocio Josefa;Domke;Figueroa;11;4;2007;AUGUSTO VILLANUEVA;7999;ÑUÑOA;1;0;2
20828176;3;Luis Felipe;Díaz;Vera;26;6;1994;AV. SIMON BOLIVAR;2054;ÑUÑOA;1;0;6
16359137;5;Roberto Mauricio;Alvarez;Figueroa;16;11;1990;SAN PABLO;389;QUINTA NORMAL;1;0;14
17641461;8;Cristobal Stefano;Campos;Borquez;2;1;1996;AV. CARRASCAL;4531;QUINTA NORMAL;1;0;7
22016826;3;Sara Valentina;Hinojosa;Acdo;27;2;2006;SAN PABLO;1973;QUINTA NORMAL;1;0;5
19742135;5;Fernanda Beatriz;Allende;Mollo;23;1;1988;AGUSTO MATTE;5467;QUINTA NORMAL;1;0;10
17097645;2;Daniela Antonia;Marquez;Martinez;13;9;2006;SALVADOR GUTIERREZ;5260;QUINTA NORMAL;1;0;12
17184983;7;Yordan Nicolas;Manriquez;Reyes;8;5;2002;LO ESPINOZA;388;QUINTA NORMAL;1;0;12
11872578;6;Catalina Soledad;Marambio;Leal;10;5;1988;MAPOCHO;6223;QUINTA NORMAL;1;0;4
16553360;7;María Alejandra;Castro;Moron;4;6;1988;PADRE TADEO;823;QUINTA NORMAL;1;0;11
20432005;5;Lozaro Sebastian;Campos;Gonzalez;25;2;2006;SALVADOR GUTIERREZ;2963;CERRO NAVIA;1;0;15
21611083;8;Libbett;Arteaga;Gonzalez;26;2;1991;JOSE JOAQUIN PEREZ;7785;CERRO NAVIA;1;1;7
19922884;8;Beltrán Pedro;Sánchez;Rubio;20;6;1993;AV. SAN FRANCISCO;1569;CERRO NAVIA;1;0;6
17384322;4;Jonathan Luis;Zapata;Becerra;11;11;2002;LANALHUE;6238;CERRO NAVIA;1;0;8
22242629;4;Bárbara Andrea;Gutierrez;Osorio;23;2;2007;PJE. KIEV P INTENDENTE SAAVEDRA;4546;CERRO NAVIA;1;0;14
17677652;8;Natalia Soledad;Matte;Contreras;2;3;1995;SARA GAJARDO;4491;CERRO NAVIA;1;0;7
15348758;8;Natalia Andrea;Estay;Leiton;15;12;1992;MAXIMO GORKI;5204;CERRO NAVIA;1;0;14
20987416;4;Benjamin Alonso;Cadero;Rojas;16;10;1990;RENE OLIVA;6063;CERRO NAVIA;1;0;10
17002975;9;Diego Estéban;Fuentes;Araya;16;3;1988;JUAN BAUTISTA INOSTROZA;6077;CERRO NAVIA;1;0;11
20224161;1;Nicolás Ignacio;Carrizo;Suarez;3;12;1991;PJE. KASAMA;6276;CERRO NAVIA;1;0;7
16873278;2;Augustina Magdalena;Rojas;Sepúlveda;29;9;1986;PJE. SORTILEGIO;9637;CERRO NAVIA;1;0;14
22413846;6;Gabriela Katerine;Benavides;Andrade;13;8;1981;LA CAPILLA;801;CERRO NAVIA;1;0;6
17597342;7;Nicolas Andres;Wylie;Vergara;6;10;1996;PJE. ECONOMIA;3595;CERRO NAVIA;1;0;14
19827551;4;Martin Adan;Valenzuela;Fernández;14;3;1989;RIVADAVIA;3870;LAS CONDES;1;0;9
17798662;3;Gianuela Karina;Muñoz;Nelson;11;4;1992;CLAUDIO ARRAU;5747;EL BOSQUE;1;0;4
17330115;4;Sebastian Esteban;Araya;Escalona;17;1;1984;MANUEL RODRIGUEZ;8801;RENCA;1;0;13
19456940;8;José Tomás;Hermosilla;Vargas;14;9;2019;RIO DOURO;376;CERRO NAVIA;1;0;7
20049102;5;Ignacio Nicolás;Alave;Reyes;3;4;2006;FLORENCIA;1693;CERRO NAVIA;1;1;4
12936616;6;Pactrick Fabian;Valenzuela;Ibarra;11;3;1982;MAPOCHO SUR;417;CERRO NAVIA;1;0;8
20165158;1;Juan Carlos Bautizta;Rojas;Almante;17;11;1992;VICUNA ROSAS;3969;CERRO NAVIA;1;0;6
21415238;k;Victor Eduardo;Hernández;Faúndez;25;6;1987;SANTA ROSA;5076;SANTIAGO;1;0;3
12454629;k;Gustavo Francisco;Paredes;López;15;4;1989;CALETA AGUA DULCE;5244;PUENTE ALTO;1;0;8
18927312;6;Diego Esteban;Machuca;Gómez;27;9;2003;VIÑA DEL MAR;1695;LA FLORIDA;1;0;14
20468572;k;Mabel Alejandra;Aguilar;Echevarria;11;12;1986;BAHIA FITZ ROY;4820;PUENTE ALTO;1;0;9
21650608;1;Martin Alonso;Loyola;Moraga;9;3;1995;SALADILLO;2411;PUENTE ALTO;1;0;8
17960452;3;Francisca Ignacia;Stuardo;Godoy;14;8;1989;LA RIOJA;6968;QUINTA NORMAL;1;0;4
16697268;k;Yanara;Correa;Fernandez;2;10;1999;AV. RAMON VENEGAS;8448;PUENTE ALTO;1;0;9
21790099;9;Pascal Maite;Mendoza;Urzúa;22;4;1999;PJE. EL RACIMO;8499;PUENTE ALTO;1;0;14
21056240;0;Martina;Rosas;Molina;8;8;1986;PJE. LAS LLUVIAS;869;PUENTE ALTO;1;0;2
20055677;1;Daniela Ivette;Vega;Encalada;11;2;1999;AV. SAN CARLOS;9462;PUENTE ALTO;1;0;11
17926509;5;María Paz;Droguett;Pereira;1;9;1992;CHAYAVIENTOS;5995;PUENTE ALTO;1;1;13
13091317;2;Leslie Karina;Carcamo;González;4;9;2001;PARQUE INSTITUCIONAL;5442;PUENTE ALTO;1;0;6
21464782;6;Esteban Ignacio;Rojas;Moreno;1;9;2007;LUIS MATTE LARRAIN;9127;PUENTE ALTO;0;0;1
18166986;1;Felipe Alonso;Méndez;Sepúlveda;2;9;2000;LAGUNA DEL INCA;9854;PUENTE ALTO;1;0;2
16876176;7;Braulio Humberto;Baeza;Perez;20;9;1996;EL PATIO;6692;PUENTE ALTO;1;0;8
22157585;7;Felipe Andrés;Muñoz;Leyton;3;9;2007;NONATO COO;8190;PUENTE ALTO;1;0;10
15959372;k;Benjamin Matias;Lopez;Farías;16;8;1987;LAGO TODOS LOS SANTOS;2590;PUENTE ALTO;1;0;3
17678786;4;Cristian Nicolás;Miranda;Morgues;11;4;1979;GABRIELA ORIENTE;4252;PUENTE ALTO;1;0;10
17289344;9;Daniela Patricia;Morales;Oyarzún;2;5;1984;CHIAPA;9188;PUENTE ALTO;0;0;6
17516949;4;Rodrigo Eduardo;Reyes;Ureta;19;7;1996;NOCEDAL;9074;PUENTE ALTO;1;0;13
18329302;8;Ignacio;Sáez;Castro;14;7;1997;COLOMBIA;7935;LA FLORIDA;1;0;14
21201372;2;Valentina Andrea;Urrutia;Norambuena;8;9;1989;WALKER MARTINEZ ESQ. AV. LA FLORIDA SUR;530;LA FLORIDA;1;0;7
22041094;3;Constanza Ninoska;Abellay;Ibacache;20;8;1996;ROJAS MAGALLANES ESQ. AV. LA FLORIDA;3986;LA FLORIDA;1;0;6
18395103;3;Daniela Patricia;Espinoza;Silva;21;3;1990;COSTA RICA;3624;LA FLORIDA;1;0;15
16170273;0;Camilo Andres;Astudillo;Venegas;27;4;1986;STA. MARIA DE LA ESTRELLA;6179;LA FLORIDA;1;0;6
13699681;9;Benjamin Ignacio;Undurraga;Cortes;13;8;1995;MARIA ELENA;2964;LA FLORIDA;1;0;8
20589450;0;Carolina Stephanie;Retamal;Migueles;16;2;1985;ARGELIA;6848;QUILICURA;1;0;1
17515366;7;Felipe Simón;Fuentes;Fuica;3;2;2004;AV. TRINIDAD;6489;LA FLORIDA;1;0;1
21380127;9;Paloma Nicole;Ramos;Mezzano;11;3;1997;SAN JOSE DE LA ESTRELLA;8933;LA FLORIDA;0;0;4
18114602;8;Carlos Matías;Sánchez;Duran;21;4;1991;RAYEN;1947;LA FLORIDA;1;1;4
19842400;5;María Elena;Leiva;Olave;14;4;1985;PJE. RENATO ZANELLI;6642;LA FLORIDA;1;1;14
16940430;5;Jocelyn Nicole;Sanchez;Martínez;14;9;2001;AV. DEPARTAMENTAL;2687;LA FLORIDA;1;0;6
17928924;5;Mackarena Belén;Silvia;Mura;18;5;2019;AV. LA FLORIDA;7702;LA FLORIDA;1;0;8
17960443;4;Claudio Marcelo;Montero;Iladrá;9;8;1999;ROJAS MAGALLANES FRENTE AL;729;LA FLORIDA;1;0;2
17609166;5;Andrés Simón;Anilio;Carrasco;8;4;1980;JOSE MIGUEL CARRERA;5143;LA FLORIDA;0;0;10
18602645;4;Amanda Espensgaard Polanco;Fonseca;Yantorno;2;7;1997;BAHIA CATALINA;3771;LA FLORIDA;1;1;8
19359114;9;Valentina Paz;Salamanca;Yuraszeck;28;2;1992;LOS ARALIOS;3021;LA FLORIDA;1;0;11
17267756;8;Francisco Javier;Del Barrio;Rondon;2;8;1989;NAVIDAD;4293;PEDRO AGUIRRE CERDA;0;0;8
20198069;0;Augustina Magdalena;Valenzuela;-;26;1;2005;BRAVO LUCO;7092;PUDAHUEL;1;0;4
18602491;5;Nicolas Ignacio;Rodríguez;Bobadilla;12;2;1989;PJE. CHUNGARA;2993;MAIPU;1;0;4
21140396;9;Paulina Maria;Medel;Bassi;3;5;2001;ESTERO COTRAUCO;3100;QUILICURA;1;1;2
16266471;9;Matias Alonso Steven;Barahona;Godoy;11;9;2006;CHACABUCO;3300;MAIPU;1;0;6
17676435;12;Judyth Eliana;Díaz;Duarte;18;1;2002;CHACABUCO;3806;MAIPU;1;0;9
18459574;5;Joaquín Andrés;Butter;Santibañez;10;7;2006;EL CIELO;9467;MAIPU;1;0;10
18145008;8;Jessica Elizabeth;-;Céspedes;26;4;1984;LA GALAXIA;6498;MAIPU;1;0;2
22107782;2;Macarena Francisca;Espinoza;Morgado;1;8;1997;PJE. UNO;378;MAIPU;1;0;3
18177256;5;Pablo Ignacio;Torres;Laurie;4;7;1991;LOS CAPUCHINOS;9580;MAIPU;1;0;9
20156804;8;Macarena Alejandra;Villavicencio;Vilchez;26;11;1988;AVES DEL PARAISO;4391;MAIPU;1;0;12
16738499;4;Roberto del Rosario;Pinochet;Cox;14;3;2007;CENTRAL GONZALO PEREZ LLONA;4376;MAIPU;1;0;2
16092031;2;Nicole Stephanie;Castillo;Barrera;18;2;2004;ACADEMIA DE GUERRA;1969;MAIPU;1;0;8
18881613;4;Lucas Javier;Veloso;Díaz;17;4;2000;AV.;986;MAIPU;1;0;12
21671291;9;Nicolas Ariel;Paredes;Faúndez;18;6;1992;SAN JOSE;4914;MAIPU;0;0;6
18635363;3;Miguel Angel;Herrera;Huenuqueo;13;4;1991;JOSE MANUEL IRARRAZAVAL;3466;MAIPU;1;1;3
16028042;5;Catalina Eliette;Tapia;Alfaro;7;11;1996;PJE. OSMIO;8134;MAIPU;1;0;6
15163876;7;Carlos Francisco;-;Lizama;17;1;1992;CABO DE HORNOS;9117;MAIPU;1;0;10
21025472;2;Sylvana Nicole;Urrutia;Vilches;7;1;2006;AV. PARQUE SUR;2843;MAIPU;1;0;3
19605786;2;Oscar Eduardo;Pérez;Díaz;14;10;1990;STA. ELENA;8481;MAIPU;1;0;14
8364082;0;Lucas Ignacio;Reynaldos;Soto;6;10;1992;TINGUIRIRICA;1608;MAIPU;1;0;9
16414244;2;Belén Andrea;Cespedes;Pinto;28;12;1985;AV. SUR;3733;MAIPU;1;0;7
19743222;5;Diego Marcelo;Leal;García;28;4;1992;AV. EL CONQUISTADOR;6569;MAIPU;0;0;5
12667404;k;Catalina Andrea;Leal;Gutierrez;29;10;1985;EL FILODENDRO;4792;MAIPU;1;0;10
21556740;0;Francisco José;Vergara;Vejar;14;12;1990;GLORIAS NAVALES;7978;MAIPU;1;0;2
19699835;7;Michal Andres;Salas;Lisboa;10;10;2007;RENE OLIVARES BECERRA;6183;MAIPU;0;0;14
16918520;4;Ricardo Nicolás;Aravena;Fuentes;22;9;2002;PJE. JUAN JOSE LATORRE;547;MAIPU;1;0;11
18730416;4;Valentina Andrea;Sánchez;Espina;12;8;1982;UNIVERSIDAD CATOLICA;9170;MAIPU;1;0;5
20735236;5;Javiera Alejandra;Gómez;-;2;12;1986;PJE. NVA. SAN MARTIN;5083;MAIPU;1;0;9
19515341;8;Simone;Valdebenito;Barrera;7;12;1984;LAGO BOLSENA;7671;MAIPU;1;0;14
17242621;2;Janis Sthefanny;Meneses;Pérez;1;9;1983;SAN ALBERTO;9179;PUENTE ALTO;1;0;4
22362087;6;Javier Andrés;Abarca;Abud;31;8;2007;TEATINOS FRENTE AL;9863;SANTIAGO;1;0;9
13071351;3;Sara Francisca;Quinche;Palavecino;28;10;1987;SALVADOR SANFUENTES;3673;SANTIAGO;1;0;3
19246377;7;Roberto Felipe;Saavedra;Bunster;23;2;1987;ENRIQUE MEIGGS;514;SANTIAGO;0;0;11
19955414;k;Camila del Carmen;Bobadilla;Perez;22;12;1988;AV. PORTUGAL;7183;SANTIAGO;1;0;5
20121918;3;Mario Antonio;Latin;Fuenzalida;29;7;1985;ROSAS;5810;SANTIAGO;1;0;13
20917369;7;Javiera Paz;Ramirez;Campos;22;11;1990;LIBERTAD;5764;SANTIAGO;1;0;8
20590032;2;Joel Alexander;Méndez;Campos;7;4;1978;AV. CLUB HIPICO;1617;SANTIAGO;1;0;11
18879966;3;Paola Belén;Saavedra;Lagos;20;7;1992;PEDRO LAGOS;7329;SANTIAGO;1;0;8
21596509;0;Antonia Belén;Salas;Ramirez;8;11;2006;MARCOLETA;545;SANTIAGO;1;0;4
20014563;1;Gonzalo Alonso;Olmedo;Rodríguez;24;5;1989;SAN PABLO;6051;SANTIAGO;1;1;5
17103014;5;Macarena Andrea;Galáz;Aliste;24;11;2001;BASCUNAN GUERRERO;1719;SANTIAGO;1;0;15
15804112;k;Javiera Paz;Cardenas;Rodríguez;11;4;1988;HERRERA;5195;SANTIAGO;0;0;14
17384322;4;Eduardo Hernán;Garrido;Saavedra;14;6;1986;CARMEN;9186;SANTIAGO;1;0;13
21605868;2;Vicente;Lopez;Toro;8;9;1990;SAN PABLO;6896;SANTIAGO;1;0;9
21318884;4;Juan Carlos;Flores;Rios;7;8;1986;MONJITAS;8310;SANTIAGO;1;0;7
22954058;0;Gabriel Patricio Andres;Fuentes;Morales;4;5;1994;AV. VIEL;4621;SANTIAGO;1;0;4
20466634;2;Camila Paz;Muñoz;Carvajal;24;5;1999;SANTA MARGARITA;7414;SANTIAGO;0;0;1
18673694;k;Marcelo Pablo;Schachtebeck;Ramos;15;3;1993;SAN JORGE;9448;LA FLORIDA;1;0;9
19024257;9;Loreto de los Angeles;Albert;Cubillos;12;3;2003;SANTA CONSUELO;4697;LA PINTANA;1;0;11
18065990;0;Manuel Alejandro;Iglesias;Gutiérrez;10;12;2002;4 ORIENTE;3965;QUILICURA;0;0;14
22306119;2;José Miguel;-;Flores;10;2;1965;AV. LA ESTRELLA;2848;PUDAHUEL;1;0;8
18864031;1;Samuel Elias;Larrucea;Cofré;27;2;1981;AV. JAIME GUZMAN ESQ. AV. HOLANDA;2569;PROVIDENCIA;1;0;15
20665473;2;Lorenza;Seith;Torres;1;3;1999;PABLO URZUA;4731;INDEPENDENCIA;1;0;9
19081643;5;Matias Ignacio;Molina;Flores;4;8;1994;ESCUELA AGRICOLA FRENTE AL;5251;MACUL;1;0;5
15891731;8;Juan Pablo;Cabrera;Ibañez;22;3;1969;VICTOR CUCCUINI;4456;RECOLETA;1;0;11
19310728;1;Fernanda Ignacia;Ardila;Altschuller;5;3;2001;ECHEVERRIA;2188;INDEPENDENCIA;1;0;15
21958131;9;Alex Patricio;Hermosilla;Peralta;9;10;1986;AV. SUR;6893;MAIPU;1;0;8
16838967;1;José Daniel;Uburruaga;Norella;7;9;1974;ARTESANOS;8016;RECOLETA;1;0;5
16893619;2;Martina Fabiana María;Gonzalez;Pulgar;29;8;1998;GABRIELA MISTRAL;2344;SAN JOAQUIN;1;0;7
21392364;1;Sebastian Ignacio;Lobos;Johnstone;8;11;1993;AV. INDEPENDENCIA;4454;INDEPENDENCIA;1;0;10
4675745;9;Claudio Alejandro;Díaz;Osorio;6;1;2004;PANGAL;5502;MAIPU;1;0;6
18459514;1;Viviana Helde;Silva;Poblette;16;7;1986;LA ESTRELLA;1178;PUDAHUEL;1;0;11
21381711;6;Juan Pablo;Gallardo;Silva;13;8;1999;LA PALMILLA;9271;CONCHALI;1;0;12
20062691;5;Esteban Alxandra;Beltrán;Nadal;9;5;1989;ICTINOS;5374;PEÑALOLEN;1;0;10
18293090;3;Tomás Agustín;Aranda;Meneses;8;10;1975;AV. VITACURA FRENTE AL;3066;VITACURA;1;0;10
19953212;k;Daniela Andrea;Flores;Nuñez;30;8;1989;RIO GUADIANA;2146;LAS CONDES;1;0;7
17007148;4;Constanza Nicol;Rodríguez;Sanhueza;13;1;1986;SAN LUIS;8457;QUILICURA;1;0;13
20048960;8;Cristina Andrea;Castro;Ibarra;29;1;1988;RAMON CRUZ MONTT FRENTE AL;6165;ÑUÑOA;1;0;14
17099547;3;Matias Andre;Ahumada;Canales;18;2;1993;SAN CARLOS DE APOQUINDO;5363;LAS CONDES;1;1;3
17029790;3;Salvador Jesús;Gómez;Hena;22;9;1994;ISABEL LA CATOLICA;3161;LAS CONDES;1;0;2
19830251;1;Josefa Antonia;Yañez;Butron;4;9;2000;RENE OLIVARES BECERRA;2970;MAIPU;1;0;9
17381625;1;Lissette Paulina;Hernández;Silva;15;9;1987;PJE. CALISAMA;3133;HUECHURABA;1;0;11
19053363;8;Valentina Andrea;Vilches;Gatica;1;3;1987;PORVENIR;8224;MAIPU;1;0;13
19668802;1;Alejandro Andrés;Lasen;Bustos;25;1;2001;EL OLIVO;5362;CONCHALI;1;0;6
21341687;1;Cristian Alonso;Garcia;Oviedo;29;11;1993;AV. GRECIA;3097;PEÑALOLEN;1;0;11
20145019;5;Maximiliano Ariel;Barahona;Sarmiento;8;11;2002;HUERFANOS FRENTE AL;5314;SANTIAGO;1;0;1
22589108;7;Camila Estrella;Moreno;Rojas;13;4;2005;PJE. ARES;818;RENCA;1;0;12
17381625;1;Aldo Fabricio;Padilla;Silva;14;1;1988;JOSE JOAQUIN PEREZ;3200;CERRO NAVIA;1;0;2
21305673;5;Rafael Alejandro;Silva;Muñoz;9;1;1989;GRECIA;3220;ÑUÑOA;1;0;14
15486072;k;Amanda Belén;Castro;Castro;3;1;1995;MAIPU;8444;MAIPU;1;0;6
17005955;7;Sofía;Velilla;Lorca;2;2;1996;PJE.;6382;LO ESPEJO;1;0;2
7077705174;24;Jaime Patricio;Marroquin;Ballesteros;28;11;1993;BENOZZO GOZZOLI;4547;SAN JOAQUIN;1;0;3
